Focus Area,Measure,Description,Source,Year(s)
Community Safety,Homicides*,"Number of deaths due to homicide per 100,000 population.",National Center for Health Statistics - Mortality Files,2014-2020
,Suicides*,"Number of deaths due to suicide per 100,000 population (age-adjusted).",National Center for Health Statistics - Mortality Files,2016-2020
,Firearm fatalities*,"Number of deaths due to firearms per 100,000 population.",National Center for Health Statistics - Mortality Files,2016-2020
,Juvenile arrests+,"Rate of delinquency cases per 1,000 juveniles",Easy Access to State and County Juvenile Court Case Counts,2019
PHYSICAL ENVIRONMENT,,,,
Housing and Transit,Traffic volume,Average traffic volume per meter of major roadways in the county.,EJSCREEN: Environmental Justice Screening and Mapping Tool,2019
,Homeownership,Percentage of owner-occupied housing units.,"American Community Survey, 5-year estimates",2016-2020
,Severe housing cost burden,Percentage of households that spend 50% or more of their household income on housing.,"American Community Survey, 5-year estimates",2016-2020
,Broadband access,Percentage of households with broadband internet connection.,"American Community Survey, 5-year estimates",2016-2020
DEMOGRAPHICS,,,,
All,Population,Resident population.,Census Population Estimates,2020
,% below 18 years of age,Percentage of population below 18 years of age.,Census Population Estimates,2020
,% 65 and older,Percentage of population ages 65 and older.,Census Population Estimates,2020
,% non-Hispanic Black,Percentage of population self-identifying as non-Hispanic Black or African American.,Census Population Estimates,2020
,% American Indian & Alaska Native,Percentage of population self-identifying as American Indian or Alaska Native.,Census Population Estimates,2020
,% Asian,Percentage of population self-identifying as Asian.,Census Population Estimates,2020
,% Native Hawaiian/Other Pacific Islander,Percentage of population self-identifying as Native Hawaiian or Other Pacific Islander.,Census Population Estimates,2020
,% Hispanic,Percentage of population self-identifying as Hispanic.,Census Population Estimates,2020
,% non-Hispanic white,Percentage of population self-identifying as non-Hispanic white.,Census Population Estimates,2020
,% not proficient in English,Percentage of population that is not proficient in English.,"American Community Survey, 5-year estimates",2016-2020
,% female,Percentage of population that is female.,Census Population Estimates,2020
,% rural,Percentage of population living in a rural area.,Census Population Estimates,2010
,,,,
,*Indicates subgroup data by race and ethnicity is available; + Not available in all states; ‡ 2018 data for New Jersey.,,,
